RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Colby Covington,Joaquin Buckley,12/14/24,"Tampa, Florida, USA",Blue,Welterweight,KO/TKO,None,3,Joaquin Buckley,Colby Covington
Cub Swanson,Billy Quarantillo,12/14/24,"Tampa, Florida, USA",Red,Featherweight,KO/TKO,Punch,3,Cub Swanson,Billy Quarantillo
Manel Kape,Bruno Silva,12/14/24,"Tampa, Florida, USA",Red,Flyweight,KO/TKO,Punches,3,Manel Kape,Bruno Silva
Vitor Petrino,Dustin Jacoby,12/14/24,"Tampa, Florida, USA",Blue,Light Heavyweight,KO/TKO,Punch,3,Dustin Jacoby,Vitor Petrino
Adrian Yanez,Daniel Marcos,12/14/24,"Tampa, Florida, USA",Blue,Bantamweight,S-DEC,None,3,Daniel Marcos,Adrian Yanez
Navajo Stirling,Tuco Tokkos,12/14/24,"Tampa, Florida, USA",Red,Light Heavyweight,U-DEC,None,3,Navajo Stirling,Tuco Tokkos
Michael Johnson,Ottman Azaitar,12/14/24,"Tampa, Florida, USA",Red,Lightweight,KO/TKO,Punch,2,Michael Johnson,Ottman Azaitar
Joel Alvarez,Drakkar Klose,12/14/24,"Tampa, Florida, USA",Red,Lightweight,KO/TKO,Knee,1,Joel Alvarez,Drakkar Klose
Sean Woodson,Fernando Padilla,12/14/24,"Tampa, Florida, USA",Red,Featherweight,KO/TKO,Punches,1,Sean Woodson,Fernando Padilla
Miles Johns,Felipe Lima,12/14/24,"Tampa, Florida, USA",Blue,Featherweight,U-DEC,None,3,Felipe Lima,Miles Johns
Miranda Maverick,Jamey-Lyn Horth,12/14/24,"Tampa, Florida, USA",Red,Women's Flyweight,U-DEC,None,3,Miranda Maverick,Jamey-Lyn Horth
Davey Grant,Ramon Taveras,12/14/24,"Tampa, Florida, USA",Red,Bantamweight,U-DEC,None,3,Davey Grant,Ramon Taveras
Josefine Knutsson,Piera Rodriguez,12/14/24,"Tampa, Florida, USA",Blue,Women's Strawweight,U-DEC,None,3,Piera Rodriguez,Josefine Knutsson
Alexandre Pantoja,Kai Asakura,12/7/24,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Rear Naked Choke,2,Alexandre Pantoja,Kai Asakura
Shavkat Rakhmonov,Ian Machado Garry,12/7/24,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,5,Shavkat Rakhmonov,Ian Machado Garry
Ciryl Gane,Alexander Volkov,12/7/24,"Las Vegas, Nevada, USA",Red,Heavyweight,S-DEC,None,3,Ciryl Gane,Alexander Volkov
Bryce Mitchell,Kron Gracie,12/7/24,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Elbows,3,Bryce Mitchell,Kron Gracie
Nate Landwehr,Dooho Choi,12/7/24,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Elbows,3,Dooho Choi,Nate Landwehr
Dominick Reyes,Anthony Smith,12/7/24,"Las Vegas, Nevada, USA",Red,Light Heavyweight,KO/TKO,Punches,2,Dominick Reyes,Anthony Smith
Vicente Luque,Themba Gorimbo,12/7/24,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Anaconda Choke,1,Vicente Luque,Themba Gorimbo
Movsar Evloev,Aljamain Sterling,12/7/24,"Las Vegas, Nevada, USA",Red,Featherweight,U-DEC,None,3,Movsar Evloev,Aljamain Sterling
Randy Brown,Bryan Battle,12/7/24,"Las Vegas, Nevada, USA",Blue,Welterweight,S-DEC,None,3,Bryan Battle,Randy Brown
Chris Weidman,Eryk Anders,12/7/24,"Las Vegas, Nevada, USA",Blue,Catch Weight,KO/TKO,Punches,2,Eryk Anders,Chris Weidman
Cody Durden,Joshua Van,12/7/24,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Joshua Van,Cody Durden
Michael Chiesa,Max Griffin,12/7/24,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Rear Naked Choke,3,Michael Chiesa,Max Griffin
Clay Guida,Chase Hooper,12/7/24,"Las Vegas, Nevada, USA",Blue,Lightweight,SUB,Armbar,1,Chase Hooper,Clay Guida
